cluster_id,character,count,first_occurrence_seconds,notes
0,,1,0.00,
1,,1,0.50,
2,,1,1.00,
3,,1,1.50,
4,,1,2.00,
5,,1,2.50,
6,,1,3.00,
7,,1,3.50,
8,,1,4.00,
9,,1,4.50,
10,,1,0.50,
11,,1,0.50,
12,,1,0.50,
13,,1,0.50,
14,,1,0.50,
15,,1,0.50,
16,,1,0.50,
17,,1,0.50,
18,,1,0.50,
19,,1,0.50,
20,,1,0.50,
21,,1,0.50,
22,,1,0.50,
23,,1,0.50,
24,,1,0.50,
25,,1,0.50,
26,,1,0.50,
27,,1,0.50,
28,,1,0.50,
29,,1,0.50,
30,,1,0.50,
31,,1,0.50,
32,,1,0.50,
33,,1,0.50,
34,,1,0.50,
35,,1,0.50,
36,,1,0.50,
37,,1,0.50,
38,,1,0.50,
39,,1,0.50,
40,,1,0.50,
41,,1,0.50,
42,,1,0.50,
43,,1,0.50,
44,,1,0.50,
45,,1,0.50,
46,,1,0.50,
47,,1,0.50,
48,,1,0.50,
49,,1,0.50,
50,,1,0.50,
51,,1,0.50,
52,,1,0.50,
53,,1,0.50,
54,,1,0.50,
55,,1,0.50,
56,,1,0.50,
57,,1,0.50,
58,,1,0.50,
59,,1,0.50,
60,,1,0.50,
61,,1,0.50,
62,,1,0.50,
63,,1,0.50,
64,,1,0.50,
65,,1,0.50,
66,,1,0.50,
67,,1,0.50,
68,,1,0.50,
69,,1,0.50,
70,,1,0.50,
71,,1,0.50,
72,,1,0.50,
73,,1,0.50,
74,,1,0.50,
75,,1,0.50,
76,,1,0.50,
77,,1,0.50,
78,,1,0.50,
79,,1,0.50,
80,,1,0.50,
81,,1,0.50,
82,,1,0.50,
83,,1,0.50,
84,,1,0.50,
85,,1,0.50,
86,,1,0.50,
87,,1,0.50,
88,,1,0.50,
89,,1,0.50,
90,,1,0.50,
91,,1,0.50,
92,,1,0.50,
93,,1,0.50,
94,,1,0.50,
95,,1,0.50,
96,,1,0.50,
97,,1,0.50,
98,,1,0.50,
99,,1,0.50,
100,,1,0.50,
101,,1,0.50,
102,,1,0.50,
103,,1,0.50,
104,,1,0.50,
105,,1,0.50,
106,,1,0.50,
107,,1,0.50,
108,,1,0.50,
109,,1,0.50,
110,,1,0.50,
111,,1,0.50,
112,,1,0.50,
113,,1,0.50,
114,,1,0.50,
115,,1,0.50,
116,,1,0.50,
117,,1,0.50,
118,,1,0.50,
119,,1,0.50,
120,,1,0.50,
121,,1,0.50,
122,,1,0.50,
123,,1,0.50,
124,,1,0.50,
125,,1,0.50,
126,,1,0.50,
127,,1,0.50,
128,,1,0.50,
129,,1,0.50,
130,,1,0.50,
131,,1,0.50,
132,,1,0.50,
133,,1,0.50,
134,,1,0.50,
135,,1,0.50,
136,,1,0.50,
137,,1,0.50,
138,,1,0.50,
139,,1,0.50,
140,,1,0.50,
141,,1,0.50,
142,,1,0.50,
143,,1,0.50,
144,,1,0.50,
145,,1,0.50,
146,,1,0.50,
147,,1,0.50,
148,,1,0.50,
149,,1,0.50,
150,,1,0.50,
151,,1,0.50,
152,,1,0.50,
153,,1,0.50,
154,,1,0.50,
155,,1,0.50,
156,,1,0.50,
157,,1,0.50,
158,,1,0.50,
159,,1,0.50,
160,,1,0.50,
161,,1,0.50,
162,,1,0.50,
163,,1,0.50,
164,,1,0.50,
165,,1,0.50,
166,,1,0.50,
167,,1,0.50,
168,,1,0.50,
169,,1,0.50,
170,,1,0.50,
171,,1,0.50,
172,,1,0.50,
173,,1,0.50,
174,,1,0.50,
175,,1,0.50,
176,,1,0.50,
177,,1,0.50,
178,,1,0.50,
179,,1,0.50,
180,,1,0.50,
181,,1,0.50,
182,,1,0.50,
183,,1,0.50,
184,,1,0.50,
185,,1,0.50,
186,,1,0.50,
187,,1,0.50,
188,,1,0.50,
189,,1,0.50,
190,,1,0.50,
191,,1,0.50,
192,,1,0.50,
193,,1,0.50,
194,,1,0.50,
195,,1,0.50,
196,,1,0.50,
197,,1,0.50,
198,,1,0.50,
199,,1,0.50,
